Scope
Manufacturer	Model
Native Instruments	vst3.5653544E696638666D38000000000000.FM8

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Easy Edit Effect Strength	0	4194304	Value	ValueOutput
Easy Edit Timbre Brightness	0	4194304	Value	ValueOutput
Easy Edit Timbre Harmonic	0	4194304	Value	ValueOutput
Easy Edit Timbre Detune	0	4194304	Value	ValueOutput
Easy Edit Timbre Env Amount	0	4194304	Value	ValueOutput
Easy Edit Timbre Velocity Sens.	0	4194304	Value	ValueOutput
Easy Edit Timbre Envelope Attack	0	4194304	Value	ValueOutput
Easy Edit Timbre Envelope Decay	0	4194304	Value	ValueOutput
Easy Edit TimbreEnvelope Sustain	0	4194304	Value	ValueOutput
Easy Edit TimbreEnvelope Release	0	4194304	Value	ValueOutput
Easy Edit LFO Rate	0	4194304	Value	ValueOutput
Easy Edit LFO Vibrato	0	4194304	Value	ValueOutput
Easy Edit LFO Timbre	0	4194304	Value	ValueOutput
Easy Edit LFO Tremolo	0	4194304	Value	ValueOutput
Easy Edit Output Volume	0	4194304	Value	ValueOutput
Easy Edit Output Stereo Width	0	4194304	Value	ValueOutput
Easy Edit Output Velocity Sens.	0	4194304	Value	ValueOutput
Easy Edit Volume Envelope Attack	0	4194304	Value	ValueOutput
Easy Edit Volume Envelope Decay	0	4194304	Value	ValueOutput
Easy Edit VolumeEnvelope Sustain	0	4194304	Value	ValueOutput
Easy Edit VolumeEnvelope Release	0	4194304	Value	ValueOutput
Morph X	0	4194304	Value	ValueOutput
Morph Y	0	4194304	Value	ValueOutput
Morph Random X	0	4194304	Value	ValueOutput
Morph Random Y	0	4194304	Value	ValueOutput
Morph Random Seed	0	4194304	Value	ValueOutput
Effects Amount BL	0	4194304	Value	ValueOutput
Effects Amount BR	0	4194304	Value	ValueOutput
Effects Amount TR	0	4194304	Value	ValueOutput
Effects Amount TL	0	4194304	Value	ValueOutput
Overdrive: On/Off	0	1	Value	ValueOutput
Overdrive: Drive	0	4194304	Value	ValueOutput
Overdrive: Tone	0	4194304	Value	ValueOutput
Overdrive: Bass	0	4194304	Value	ValueOutput
Overdrive: Volume	0	4194304	Value	ValueOutput
TubeAmp: On/Off	0	1	Value	ValueOutput
TubeAmp: Drive	0	4194304	Value	ValueOutput
TubeAmp: Volume	0	4194304	Value	ValueOutput
Cabinet: On/Off	0	1	Value	ValueOutput
Cabinet: Type	0	4194304	Value	ValueOutput
Cabinet: Size	0	4194304	Value	ValueOutput
Cabinet: Air	0	4194304	Value	ValueOutput
Cabinet: Bass	0	4194304	Value	ValueOutput
Cabinet: Treble	0	4194304	Value	ValueOutput
ShelfEQ: On/Off	0	1	Value	ValueOutput
ShelfEQ: Low Frequency	0	4194304	Value	ValueOutput
ShelfEQ: Low Gain	0	4194304	Value	ValueOutput
ShelfEQ: High Frequency	0	4194304	Value	ValueOutput
ShelfEQ: High Gain	0	4194304	Value	ValueOutput
ShelfEQ: Volume	0	4194304	Value	ValueOutput
PeakEQ: On/Off	0	1	Value	ValueOutput
PeakEQ: Frequency 1	0	4194304	Value	ValueOutput
PeakEQ: Gain 1	0	4194304	Value	ValueOutput
PeakEQ: Quality 1	0	4194304	Value	ValueOutput
PeakEQ: Frequency 2	0	4194304	Value	ValueOutput
PeakEQ: Gain 2	0	4194304	Value	ValueOutput
PeakEQ: Quality 2	0	4194304	Value	ValueOutput
PeakEQ: Volume	0	4194304	Value	ValueOutput
TalkWah: On/Off	0	1	Value	ValueOutput
TalkWah: Mouth	0	4194304	Value	ValueOutput
TalkWah: ModWheel	0	1	Value	ValueOutput
TalkWah: Size	0	4194304	Value	ValueOutput
TalkWah: Bright	0	1	Value	ValueOutput
Phaser: On/Off	0	1	Value	ValueOutput
Phaser: Modulation Rate	0	4194304	Value	ValueOutput
Phaser: Color	0	4194304	Value	ValueOutput
Phaser: Rotate	0	4194304	Value	ValueOutput
Phaser: Sweep Minimum	0	4194304	Value	ValueOutput
Phaser: Sweep Maximum	0	4194304	Value	ValueOutput
Phaser: MIDI Tempo Sync	0	1	Value	ValueOutput
Phaser: Dry/Wet	0	4194304	Value	ValueOutput
Phaser: Invert	0	1	Value	ValueOutput
